tag,type,options_count,has_options,keyword_select,is_yes_no_question,is_consent,is_demographic,is_required,label_length,field_id,predicted_kind,true_kind,is_correct,rule_based_prediction,rule_correct,dt_prediction,rf_prediction,dt_confidence,rf_confidence,dt_correct,rf_correct
input,text,0,0,0,0,0,0,1,10,first_name,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,0,0,0,0,0,0,1,9,last_name,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,0,0,0,0,0,0,1,5,email,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,2,1,0,0,0,0,1,8,country,select,select,1,select,1,select,select,1.0,0.8,True,True
input,tel,0,0,0,0,0,0,1,5,phone,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,0,0,0,0,0,0,1,14,question_7968643005,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,0,0,0,0,0,0,1,4,question_7968644005,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,0,0,0,0,0,0,1,5,question_7968645005,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,0,0,0,0,0,0,1,8,question_7968646005,text,text,1,text,1,text,text,1.0,0.9,True,True
input,text,0,0,0,0,0,0,1,16,question_7968647005,text,text,1,text,1,text,text,1.0,1.0,True,True
input,text,0,0,0,1,0,0,1,45,question_7968648005,text,select,0,select,1,select,select,1.0,1.0,True,True
input,text,0,0,0,1,0,0,1,33,question_7968649005,text,select,0,select,1,select,select,1.0,1.0,True,True
input,text,0,0,0,1,0,0,1,40,question_7968650005,text,select,0,select,1,select,select,1.0,1.0,True,True
input,text,0,0,0,0,1,0,1,24,question_7968651005,text,select,0,text,0,select,select,1.0,0.65,True,True
input,text,0,0,0,0,1,0,1,26,question_7968652005,text,select,0,text,0,select,select,1.0,0.575,True,True
input,text,2,1,0,0,0,0,1,26,question_7968653005,select,select,1,select,1,select,select,1.0,0.9,True,True
input,text,2,1,0,1,0,0,1,35,question_7968654005,select,select,1,select,1,select,select,1.0,1.0,True,True
input,text,0,0,0,0,0,0,1,29,question_7968655005,text,text,1,text,1,text,text,1.0,0.625,True,True
input,text,0,0,0,0,0,0,1,25,question_7968656005,text,text,1,text,1,text,text,1.0,0.75,True,True
input,text,2,1,0,1,0,0,1,26,question_7968657005,select,select,1,select,1,select,select,1.0,1.0,True,True
input,text,2,1,0,0,0,0,1,28,question_7968658005,select,select,1,select,1,select,select,1.0,1.0,True,True
input,text,0,0,0,0,0,1,1,6,4014112005,text,select,0,text,0,select,select,1.0,0.5,True,True
input,text,2,1,0,0,0,1,1,13,4014113005,select,select,1,select,1,select,select,1.0,0.9,True,True
