tag,type,options_count,has_options,keyword_select,is_yes_no_question,is_consent,is_demographic,is_required,label_length,field_id,predicted_kind,true_kind,is_correct,rule_based_prediction,rule_correct,lr_prediction,lr_confidence,lr_correct,lr_proba_select,lr_proba_text
input,text,0,0,0,0,0,0,1,10,first_name,text,text,1,text,1,text,0.8067874623620045,True,0.1932125376379955,0.8067874623620045
input,text,0,0,0,0,0,0,1,9,last_name,text,text,1,text,1,text,0.8168351881220843,True,0.18316481187791567,0.8168351881220843
input,text,0,0,0,0,0,0,1,5,email,text,text,1,text,1,text,0.8529812116578283,True,0.14701878834217175,0.8529812116578283
input,text,2,1,0,0,0,0,1,8,country,select,select,1,select,1,select,0.8623688746614598,True,0.8623688746614598,0.1376311253385402
input,tel,0,0,0,0,0,0,1,5,phone,text,text,1,text,1,text,0.8529812116578283,True,0.14701878834217175,0.8529812116578283
input,text,0,0,0,0,0,0,1,14,question_7968643005,text,text,1,text,1,text,0.7624471932981539,True,0.2375528067018461,0.7624471932981539
input,text,0,0,0,0,0,0,1,4,question_7968644005,text,text,1,text,1,text,0.8610404579416209,True,0.13895954205837913,0.8610404579416209
input,text,0,0,0,0,0,0,1,5,question_7968645005,text,text,1,text,1,text,0.8529812116578283,True,0.14701878834217175,0.8529812116578283
input,text,0,0,0,0,0,0,1,8,question_7968646005,text,text,1,text,1,text,0.8264727821943446,True,0.1735272178056554,0.8264727821943446
input,text,0,0,0,0,0,0,1,16,question_7968647005,text,text,1,text,1,text,0.737802906253417,True,0.26219709374658295,0.737802906253417
input,text,0,0,0,1,0,0,1,45,question_7968648005,text,select,0,select,1,select,0.9322732428926929,True,0.9322732428926929,0.06772675710730716
input,text,0,0,0,1,0,0,1,33,question_7968649005,text,select,0,select,1,select,0.8620909290154518,True,0.8620909290154518,0.1379090709845482
input,text,0,0,0,1,0,0,1,40,question_7968650005,text,select,0,select,1,select,0.9083153742382829,True,0.9083153742382829,0.09168462576171706
input,text,0,0,0,0,1,0,1,24,question_7968651005,text,select,0,text,0,text,0.6244144254003795,False,0.3755855745996205,0.6244144254003795
input,text,0,0,0,0,1,0,1,26,question_7968652005,text,select,0,text,0,text,0.5930925948141019,False,0.4069074051858981,0.5930925948141019
input,text,2,1,0,0,0,0,1,26,question_7968653005,select,select,1,select,1,select,0.9534328504224836,True,0.9534328504224836,0.04656714957751641
input,text,2,1,0,1,0,0,1,35,question_7968654005,select,select,1,select,1,select,0.9953223359531871,True,0.9953223359531871,0.004677664046812962
input,text,0,0,0,0,0,0,1,29,question_7968655005,text,text,1,text,1,text,0.544735124278398,True,0.455264875721602,0.544735124278398
input,text,0,0,0,0,0,0,1,25,question_7968656005,text,text,1,text,1,text,0.608865622944551,True,0.39113437705544896,0.608865622944551
input,text,2,1,0,1,0,0,1,26,question_7968657005,select,select,1,select,1,select,0.9915761933430806,True,0.9915761933430806,0.008423806656919391
input,text,2,1,0,0,0,0,1,28,question_7968658005,select,select,1,select,1,select,0.9589377408838022,True,0.9589377408838022,0.04106225911619778
input,text,0,0,0,0,0,1,1,6,4014112005,text,select,0,text,0,text,0.8445389441702815,False,0.15546105582971848,0.8445389441702815
input,text,2,1,0,0,0,1,1,13,4014113005,select,select,1,select,1,select,0.896971060603752,True,0.896971060603752,0.10302893939624803
